title,authors,year,keywords,document_type,source,source_file,doi,journal,document_type_enhanced,repository
Blockchain-Enabled Governance for Health IoT Data Access via Interpretable Multi-Objective Optimization and Bargaining Under Privacy–Latency–Robustness Trade-Offs,Keivanian F.; Hu Y.; Shojae Chaeikar S.,2026,access control; adversarial robustness; blockchain auditability; data access governance; edge computing; explainable AI; fuzzy inference; health IoT; multi-objective optimization; Nash bargaining,Article,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.3390/electronics15040864,Electronics (Switzerland),Article,
Hazard-responsive digital twin for weather-driven urban resilience and affordability,Shen Z.; Zhou H.,2026,Affordability; Compounding hazards; Digital twin; Physics-informed neural networks; Urban resilience,Article,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.1016/j.scs.2026.107413,Sustainable Cities and Society,Article,
IoT-Driven Predictive Maintenance in Industry 4.0 Using Optimized Granger-Inspired GNN and Decision Support System with Big Data,Patil V.V.,2025,Big Data Analytics; Decision Support System; Granger Causality; Graph Neural Network; Industry 4.0; IoT; Predictive Maintenance,Conference Paper,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.1109/ICCCA66364.2025.11325385,"2025 IEEE 7th International Conference on Computing, Communication and Automation, ICCCA 2025",Conference paper,
Timing Strategy for Active Detection of APT Attack Based on FlipIt Model and Q-learning Method,Liu Z.; Zhang H.; Sun P.; Mi Y.; Zhang X.; Wang J.,2021,APT attack; FlipIt; greedy strategy; Q-learning; reinforcement learning,Conference Paper,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.1109/DSInS54396.2021.9670619,"2021 International Conference on Digital Society and Intelligent Systems, DSInS 2021",Conference paper,
Adaptive nested robust multi-objective optimisation for integrated precinct-scale energy–water system planning,Cardoso de Oliveira G.; Bertone E.; Stewart R.A.; Sanjari M.J.; Bortoni E.C.,2025,Adaptive recourse action-taking; Energy–water system integration; Functional disciplined convex programming; Robust multi-objective optimisation modelling; Uncertain nested decision-making; Urban precinct-scale planning,Article,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.1016/j.energy.2025.136552,Energy,Article,
Empirical evaluation of reservoir characteristics for cost and performance optimisation in oilfield operations,Z’hang X.; Hu L.; Wang T.; Niu B.; Wang X.,2026,cost optimisation; data-driven decision making; Knowledge management; oilfield production; reservoir characteristics,Article,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.1080/1448837X.2026.2618422,Australian Journal of Electrical and Electronics Engineering,Article,
CREDO: a human-centric decision Intelligence framework that turns community from communication to coordinated action,Andreev P.; Nejinski A.,2026,Community collaboration systems; decision intelligence framework; decision support; human-AI collaboration configuration; human-centric AI,Article,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.1080/12460125.2026.2664784,Journal of Decision Systems,Article,
Acceptance of Mobile Application on Disaster Preparedness: Towards Decision Intelligence in Disaster Management,Escolano V.J.C.; Caballero A.R.; Albina E.M.; Hernandez A.A.; Juanatas R.A.,2023,disaster management; disaster preparedness; intelligent disaster management; mobile application; simulation,Conference Paper,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.1109/ICBIR57571.2023.10147638,"2023 8th International Conference on Business and Industrial Research, ICBIR 2023 - Proceedings",Conference paper,
Bipolar linear Diophantine fuzzy EDAS for multi-attribute group decision-making,Vimala J.; Sri S.N.; Kausar N.; Vrioni B.; Pamucar D.; Simic V.,2025,Bipolar linear Diophantine fuzzy set; evaluation based on distance from average solution; multi-attribute group decision-making; multi-attributive border approximation area comparison,Article,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.22436/jmcs.038.01.03,Journal of Mathematics and Computer Science,Article,
Safe-State Enhancement Method for Autonomous Driving via Direct Hierarchical Reinforcement Learning,Gu Z.; Gao L.; Ma H.; Li S.E.; Zheng S.; Jing W.; Chen J.,2023,Autonomous vehicle; decision making; reinforcement learning (RL); safety enhancement,Article,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.1109/TITS.2023.3271642,IEEE Transactions on Intelligent Transportation Systems,Article,
On the Problem of Forming Sustainable Production Schedules in the Context of Conflicting Objective Functions of Management Agents,Burlutskaya Z.V.; Vatamaniuk I.V.; Gintciak A.M.; Ablavatskaia D.A.; Pospelov K.N.,2026,decision intelligence in manufacturing; distributed production systems; objective functions of management agents; sustainable manufacturing systems; sustainable production schedules,Article,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.3390/su18031655,Sustainability (Switzerland),Article,
Research progress of opponent modeling for agent,Liu C.-J.; Zhao T.-H.; Liu R.-K.; Zhang Q.,2021,agent systems; AlphaGo; decision intelligence; game theory; opponent modeling,Article,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.11996/JG.j.2095-302X.2021050703,Journal of Graphics,Article,
"Cognitive Bias Mitigation in Executive Decision-Making: A Data-Driven Approach Integrating Big Data Analytics, AI, and Explainable Systems",Theodorakopoulos L.; Theodoropoulou A.; Halkiopoulos C.,2025,AI-powered decision support; algorithmic bias; artificial intelligence; data-driven strategy; decision intelligence; explainable AI (XAI); real-time analytics; strategic reasoning,Review,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.3390/electronics14193930,Electronics (Switzerland),Review,
"Beyond Rationality: Bridging Cognitive, Emotional, and Individual Differences in XAI Decision-Making",Sansoni M.; Beretta A.; DE GASPARI S.; Giannotti F.; Pedreschi D.; Pellungrini R.; Pugnana A.; Pupillo C.; Repetto C.; Sajno E.; Villani D.; Riva G.,2025,Cognition; Decision Intelligence; Emotion; eXplainable AI; Human-Centered AI; Individual Difference,Article,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,,Annual Review of CyberTherapy and Telemedicine,Article,
Statistical Methods for Developing Cybersecurity Response Thresholds for Operational Technology Systems Using Historical Data,Connor Grady J.; Wen S.X.; Maccarone L.T.; Bowman S.T.,2024,Cybersecurity; industrial control systems; operational technology; risk,Conference Paper,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.1109/TPS-ISA62245.2024.00075,"Proceedings - 2024 IEEE 6th International Conference on Trust, Privacy and Security in Intelligent Systems, and Applications, TPS-ISA 2024",Conference paper,
SmartSiteAI: Predictive Commercial Zoning via Crowdsourced Location Intelligence,Adam A.; Taha A.-E.M.,2025,Crowdsourced Data; Explainable Al; Geospatial Data; Machine Learning; Smart Cities,Conference Paper,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.1109/MECOM67453.2025.11439678,"2025 IEEE Middle East Conference on Communications and Networking, MECOM 2025",Conference paper,
A data-driven approach to anomaly prediction in automotive display manufacturing,Rocha H.; Moreno M.; Matos L.M.; Moreira G.; Pilastri A.; Cortez P.,2025,Decision intelligence; Defect detection; Industrial analytics; Manufacturing quality; Predictive modeling; Process optimization,Article,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.1016/j.dajour.2025.100637,Decision Analytics Journal,Article,
"A call for ethical, equitable, and effective artificial intelligence to improve care for all people with epilepsy: A roadmap. A report by the ILAE Global Advocacy Council and Big Data Commission",Josephson C.B.; Beniczky S.; Denaxas S.; Ikeda A.; Jehi L.; Mwesige A.K.; Jette N.; Jones G.D.; Ryvlin P.; Sen A.; Triki C.C.; Waters G.; Guekht A.; Cross J.H.,2026,AI ethics; computational intelligence; data science; deep learning; Intersectoral Global Action Plan; machine intelligence; machine learning; synthetic intelligence,Article,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.1002/epi.70058,Epilepsia,Article,
Edge-Cloud Synergized Digital Twin Framework for Real-Time Decision Intelligence in Industry 5.0-Driven Smart Cities,Ramal P.J.; Anbalagan E.,2025,Digital Twin; Edge Computing; Industry 5.0; Reinforcement Learning; Smart Cities,Conference Paper,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.1109/WCONF64849.2025.11233244,"2025 3rd World Conference on Communication and Computing, WCONF 2025",Conference paper,
Fuzzy Logic-Based Task Scheduling for AI-Enabled IoT Edge Devices in Smart Communication Networks,Khatoon A.; Ullah A.; Bello A.U.; Khan A.; Bin Roslee M.; Amin H.,2025,AI-enabled IoT Devices; Edge Computing; Fuzzy Logic Scheduling; Real-Time Edge Intelligence; Round Robin Optimization; Smart Communication Systems; Task Prioritization,Conference Paper,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.1109/MECON67253.2025.11276908,"2025 Multimedia University Engineering Conference, MECON 2025",Conference paper,
A Capability-Based Framework for Knowledge-Driven AI Innovation and Sustainability,Santos M.R.C.; Carvalho L.C.; Francisco E.,2025,AI-driven innovation; artificial intelligence; innovation management; knowledge management; organizational capabilities; strategic alignment; sustainability; sustainable development,Article,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.3390/info16110987,Information (Switzerland),Article,
Decision Intelligence: Creating a Fit between Intelligence Requirements and Intelligence Processing Capacities,Moser R.; Rengarajan S.; Narayanamurthy G.,2021,decision-making; dynamic environments; information processing fit; intelligence processing capacity; intelligence requirements; Strategic analysis,Article,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.1177/22779752211017386,IIM Kozhikode Society and Management Review,Article,
The Emergence of Applied Artificial Intelligence in the Realm of Value Based Musculoskeletal Care,Hunter J.; Dentino P.; Jayakumar P.,2025,Artificial intelligence; High value care; Machine learning; Musculoskeletal; Orthopaedic,Review,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.1007/s12178-025-09982-7,Current Reviews in Musculoskeletal Medicine,Review,
Decision Intelligence for Healthcare Decarbonization,Nadarajah S.; Dziemian S.,2025,,Review,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.1561/0200000116-4,"Foundations and Trends in Technology, Information and Operations Management",Review,
Leveraging AI to Build Agile and Resilient Healthcare Supply Chains for Sustainable Performance: A Systematic Scoping Review and Future Directions,Thiyagarajan S.; Cudney E.A.; Chimmani P.; D’silva L.H.; Laux C.M.,2026,agile; artificial intelligence; healthcare supply chain; resilience; sustainability,Review,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.3390/su18031434,Sustainability (Switzerland),Review,
Searching for spatial data resources by fitness for use,Ivánová I.; Morales J.; de By R.A.; Beshe T.S.; Gebresilassie M.A.,2013,fitness for use; quality; recommendation service; spatial data search; spatial dataset,Article,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.1080/14498596.2012.759087,Journal of Spatial Science,Article,
Leveraging generative AI and circular innovation for equitable and resilient supply chains: The mediating role of transparency and sustainability-oriented decision empowerment,Xia Y.; Qiu Y.; Gu Z.; Zhang L.; Yang J.,2026,Circular innovation; Generative artificial intelligence; Responsible AI governance; Socio-technical systems; Supply chain transparency; Sustainability-oriented decision-making,Article,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.1016/j.techfore.2026.124556,Technological Forecasting and Social Change,Article,
Online reinforcement learning-based inventory control for intelligent E-Fulfilment dealing with nonstationary demand,Mo D.Y.; Tsang Y.P.; Wang Y.; Xu W.,2024,inventory policy; nonstationary demand; online optimal control; Reinforcement learning; supply chain,Article,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.1080/17517575.2023.2284427,Enterprise Information Systems,Article,
A Multi-Criteria Decision Intelligence Framework to Predict Fire Danger Ratings in Underground Engineering Structures,Kamran M.; Chaudhry W.; Wattimena R.K.; Rehman H.; Martyushev D.A.,2023,coal; fuzzy c-means clustering algorithm; ISOMAP; KNN; safety; underground fire,Article,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.3390/fire6110412,Fire,Article,
Stochastic Inventory Optimization with Coherent Risk Measures: A Decision-Theoretic Framework for Probabilistic Forecasting and Constrained Optimization,Ngartera L.; Nadarajah S.; Koina R.; Gningue Y.,2026,Conditional Value-at-Risk; Decision Intelligence; inventory optimization; newsvendor problem; quantile regression,Article,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.3390/jrfm19030173,Journal of Risk and Financial Management,Article,
"Towards Explainable Agentic Intelligence: A LangGraph-MCP Hybrid Framework for Scalable, Fair, and Self-Improving Multi-Agent Systems",Panchal D.; Gole A.; Jani C.; Karekar T.; Narute V.; Vartak R.,2026,Agentic AI; Context-Aware Communication; Graph-Based Architecture; Model Context Protocol (MCP); Workflow Orchestration,Conference Paper,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.1109/IC3ET64989.2026.11467510,"2026 International Conference on Communication, Computing and Emerging Technologies, IC3ET 2026",Conference paper,
