,Decision Intelligence,Artificial Intelligence,Machine Learning,Reinforcement Learning,Decision Making,Deep Learning,Digital Twin,Explainable Ai,Deep Reinforcement Learning,Sustainability,Large Language Models,Decision Support System,Industry 4.0,Smart Cities,Generative Ai
Decision Intelligence,0,6,3,3,3,2,0,3,2,0,1,0,0,0,3
Artificial Intelligence,6,0,9,0,1,3,1,1,2,2,0,0,0,1,2
Machine Learning,3,9,0,3,1,3,0,1,0,0,1,1,0,2,2
Reinforcement Learning,3,0,3,0,1,1,1,0,0,0,1,2,0,1,0
Decision Making,3,1,1,1,0,0,0,0,0,1,1,0,0,0,0
Deep Learning,2,3,3,1,0,0,0,1,0,0,0,0,0,0,1
Digital Twin,0,1,0,1,0,0,0,0,0,0,3,0,1,1,1
Explainable Ai,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Deep Reinforcement Learning,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Sustainability,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0
Large Language Models,1,0,1,1,1,0,3,0,0,0,0,0,0,0,1
Decision Support System,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0
Industry 4.0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
Smart Cities,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0
Generative Ai,3,2,2,0,0,1,1,0,0,0,1,0,0,0,0
